City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,2021-09-17 14:54:21,-21.2078,-159.775,73.45,78,40,16.11,scattered clouds
1,Fukue,JP,2021-09-17 14:58:10,32.6881,128.8419,74.16,83,100,22.37,overcast clouds
2,Vila Velha,BR,2021-09-17 14:58:11,-20.3297,-40.2925,78.75,78,40,12.66,scattered clouds
3,Yellowknife,CA,2021-09-17 14:56:05,62.456,-114.3525,41.52,100,75,10.36,broken clouds
4,Rikitea,PF,2021-09-17 14:53:01,-23.1203,-134.9692,67.03,88,100,8.99,moderate rain
5,Geraldton,AU,2021-09-17 14:56:52,-28.7667,114.6,48.61,87,0,4.61,clear sky
6,Cape Town,ZA,2021-09-17 14:52:38,-33.9258,18.4232,72.12,60,0,4.0,clear sky
7,Castro,BR,2021-09-17 14:55:50,-24.7911,-50.0119,57.78,96,100,7.45,overcast clouds
8,Nanortalik,GL,2021-09-17 14:55:35,60.1432,-45.2371,39.9,86,68,12.73,broken clouds
9,North Bend,US,2021-09-17 14:58:11,43.4065,-124.2243,51.15,76,85,4.36,overcast clouds
10,Road Town,VG,2021-09-17 14:54:15,18.4167,-64.6167,86.04,79,40,10.36,scattered clouds
11,Balgazyn,RU,2021-09-17 14:58:12,51.0,95.2,50.43,53,7,3.13,clear sky
12,Hilo,US,2021-09-17 14:54:28,19.7297,-155.09,74.28,93,90,6.91,moderate rain
13,Katsuura,JP,2021-09-17 14:55:00,35.1333,140.3,75.31,70,97,19.42,overcast clouds
14,Iqaluit,CA,2021-09-17 14:54:47,63.7506,-68.5145,35.33,87,90,16.11,light rain and snow
15,Yinchuan,CN,2021-09-17 14:58:13,38.4681,106.2731,71.96,42,100,5.99,overcast clouds
16,Busselton,AU,2021-09-17 14:54:45,-33.65,115.3333,49.08,69,99,11.81,overcast clouds
17,Chuy,UY,2021-09-17 14:54:26,-33.6971,-53.4616,63.61,61,2,10.47,clear sky
18,Havelock,US,2021-09-17 14:56:03,34.8791,-76.9013,82.38,89,90,3.0,mist
19,Mahebourg,MU,2021-09-17 14:55:25,-20.4081,57.7,73.69,78,20,11.5,few clouds
20,Bluff,NZ,2021-09-17 14:54:33,-46.6,168.3333,32.81,77,8,10.54,clear sky
21,Dikson,RU,2021-09-17 14:54:55,73.5069,80.5464,35.37,64,100,18.19,overcast clouds
22,Punta Arenas,CL,2021-09-17 14:52:21,-53.15,-70.9167,37.51,93,90,9.22,light intensity drizzle
23,Provideniya,RU,2021-09-17 14:55:48,64.3833,-173.3,37.17,72,94,5.88,overcast clouds
24,Polis,CY,2021-09-17 14:58:14,35.0367,32.4264,82.22,55,0,5.93,clear sky
25,Saint George,US,2021-09-17 14:55:34,37.1041,-113.5841,80.55,20,1,3.44,clear sky
26,Ushuaia,AR,2021-09-17 14:49:48,-54.8,-68.3,40.62,93,75,2.3,broken clouds
27,Kapaa,US,2021-09-17 14:54:19,22.0752,-159.319,75.18,97,75,13.49,broken clouds
28,Oudtshoorn,ZA,2021-09-17 14:58:14,-33.5907,22.2014,57.56,48,3,12.53,clear sky
